α (°), E174 / T1-Re0.050-N5.0, α (°), E174 / T1-Re0.100-N5.0, α (°), E174 / T1-Re0.150-N5.0, α (°), E174 / T1-Re0.200-N5.0, α (°), E174 / T1-Re0.250-N5.0, α (°), E174 / T1-Re0.300-N5.0, α (°), E174 / T1-Re0.350-N5.0, α (°), E174 / T1-Re0.375-N5.0, α (°), E174 / T1-Re0.400-N5.0, 
         -2.8,    0.07201129,         -2.4,     0.1370557,         -1.6,     0.2208488,         -2.6,     0.1118055,         -2.4,     0.1327209,         -2.2,     0.1543678,           -3,    0.06534736,         -2.8,     0.0874097,         -2.8,    0.08735735,
         -2.6,     0.0968408,         -2.2,     0.1582983,         -1.4,      0.241228,         -2.4,     0.1336566,         -2.2,     0.1548727,           -2,     0.1765159,         -2.8,    0.08749361,         -2.6,     0.1097062,         -2.6,      0.109569,
         -2.4,     0.1214376,           -2,     0.1792266,         -1.2,     0.2606161,         -2.2,     0.1556278,           -2,     0.1768305,         -1.8,     0.1985212,         -2.6,     0.1097714,         -2.4,     0.1318134,         -2.4,     0.1316689,
         -2.2,     0.1450804,         -1.8,     0.1997442,           -1,     0.2774694,           -2,     0.1774906,         -1.8,      0.198653,         -1.6,     0.2204829,         -2.4,      0.131979,         -2.2,     0.1539837,         -2.2,     0.1540542,
           -2,     0.1658277,         -1.6,     0.2194452,         -0.8,     0.2950615,         -1.8,     0.1991518,         -1.6,     0.2206962,         -1.4,     0.2426447,         -2.2,     0.1541083,           -2,     0.1763304,           -2,     0.1763489,
         -1.8,     0.1795052,         -1.4,     0.2365225,         -0.6,     0.3302946,         -1.6,     0.2208859,         -1.4,     0.2425237,         -1.2,     0.2646243,           -2,     0.1762439,         -1.8,     0.1985554,         -1.8,      0.198534,
         -1.6,     0.2137085,         -1.2,     0.2520332,         -0.4,     0.3523088,         -1.4,     0.2423168,         -1.2,     0.2641051,           -1,     0.2863347,         -1.8,     0.1985254,         -1.6,     0.2206927,         -1.6,     0.2206345,
         -1.4,     0.2367635,           -1,     0.2889164,         -0.2,     0.3742798,           -1,     0.2834643,           -1,     0.2853955,         -0.8,     0.3076031,         -1.6,     0.2207055,         -1.2,         0.265,         -1.4,     0.2429685,
         -1.2,      0.259721,         -0.8,     0.3106453,            0,     0.3963445,         -0.8,     0.3019858,         -0.8,     0.3061727,         -0.6,     0.3285579,         -1.4,     0.2427752,           -1,     0.2870981,         -1.2,     0.2651968,
           -1,     0.2823247,         -0.6,     0.3325077,          0.2,     0.4183261,         -0.6,     0.3178111,         -0.6,     0.3254076,         -0.4,      0.348202,         -1.2,     0.2647109,         -0.8,     0.3089508,           -1,     0.2872714,
         -0.8,     0.3036005,         -0.4,      0.354138,          0.4,     0.4402639,         -0.4,     0.3513304,         -0.4,      0.341765,         -0.2,     0.3650632,           -1,     0.2868358,         -0.6,     0.3304845,         -0.8,     0.3091353,
         -0.6,     0.3248724,         -0.2,     0.3759355,          0.6,      0.462268,         -0.2,     0.3735482,         -0.2,      0.369086,            0,     0.3917004,         -0.8,     0.3086559,         -0.4,     0.3516797,         -0.6,     0.3308316,
         -0.4,     0.3470376,            0,     0.3977941,          0.8,      0.484323,            0,      0.395715,            0,     0.3955119,          0.2,     0.4176847,         -0.6,     0.3300802,         -0.2,     0.3721952,         -0.4,     0.3524612,
         -0.2,     0.3683894,          0.2,      0.419495,            1,     0.5063027,          0.2,     0.4177936,          0.2,     0.4178015,          0.4,     0.4401258,         -0.4,     0.3508918,            0,     0.3905898,         -0.2,      0.373406,
            0,     0.3893942,          0.4,     0.4413073,          1.2,     0.5282337,          0.4,     0.4398555,          0.4,     0.4399987,          0.6,     0.4624696,         -0.2,     0.3704978,          0.2,     0.4078519,            0,     0.3928492,
          0.2,     0.4122762,          0.6,     0.4630648,          1.4,     0.5501886,          0.6,     0.4620635,          0.6,     0.4620961,          0.8,     0.4847211,            0,      0.387405,          0.4,     0.4405437,          0.2,     0.4088899,
